pressure1,pressure2,temperature
9675,18976,2117
9646,18976,2117
9622,18976,2117
9550,18976,2117
9569,18976,2117
9564,18976,2117
9583,18976,2117
9569,18976,2117
9588,18979,2117
9574,18976,2117
9583,18979,2117
9545,18976,2117
9559,18976,2117
9550,18976,2117
9564,18976,2117
9559,18976,2117
9579,18976,2117
9574,18979,2117
9569,18979,2117
9559,18976,2117
9569,18976,2117
9545,18976,2117
9564,18976,2117
9554,18976,2117
9588,18979,2117
9574,18979,2117
9569,18979,2117
9545,18976,2117
9564,18976,2117
9540,18979,2117
9564,18979,2117
9564,18976,2103
9569,18973,2103
9550,18979,2103
9569,18976,2103
9564,18976,2103
9583,18976,2103
9564,18979,2103
9583,18979,2103
9569,18979,2103
9569,18976,2103
9554,18979,2103
9564,18979,2103
9559,18976,2103
9583,18973,2103
9550,18979,2103
9559,18976,2103
9540,18976,2103
9554,18976,2103
9540,18976,2103
9569,18976,2103
9559,18979,2103
9564,18976,2103
9554,18976,2103
9564,18976,2103
9540,18979,2103
9564,18979,2103
9550,18976,2103
9574,18976,2103
9559,18976,2103
9559,18976,2103
9545,18979,2103
9569,18976,2103
9554,18976,2103
9574,18976,2103
9554,18976,2103
9559,18979,2103
9535,18979,2103
9550,18976,2103
9550,18976,2103
9564,18976,2103
9540,18976,2103
9559,18976,2103
9545,18976,2103
9554,18979,2103
9535,18979,2103
9554,18973,2103
9550,18976,2103
9564,18976,2103
9550,18976,2103
9545,18976,2103
9535,18979,2103
9550,18976,2103
9525,18979,2103
9540,18976,2103
9525,18976,2103
9540,18976,2103
9521,18979,2103
9540,18979,2103
9521,18976,2103
9535,18976,2103
9525,18979,2103
9540,18979,2103
9530,18979,2103
9550,18976,2103
9506,18976,2103
9540,18979,2103
9511,18976,2103
9535,18979,2103
9530,18976,2103
9540,18979,2103
9525,18976,2103
9540,18976,2103
9521,18979,2103
9545,18976,2103
9535,18976,2103
9559,18976,2103
9525,18979,2103
9550,18976,2103
9535,18979,2103
9530,18976,2103
9516,18976,2103
9540,18979,2103
9530,18979,2103
9559,18976,2103
9535,18979,2103
9530,18979,2103
9525,18976,2103
9554,18976,2103
9535,18976,2103
9554,18979,2103
9545,18979,2103
9535,18976,2103
9530,18976,2103
9554,18979,2103
9535,18979,2103
9545,18976,2103
9540,18979,2103
9564,18979,2103
9554,18979,2103
9559,18979,2103
9540,18979,2103
9540,18976,2103
9516,18976,2103
9535,18979,2103
9521,18976,2103
9540,18979,2103
9530,18976,2103
9545,18976,2103
9530,18979,2103
9550,18976,2103
9545,18976,2103
9559,18976,2103
9540,18976,2103
9554,18979,2103
9511,18979,2103
9540,18976,2103
9540,18976,2103
9559,18976,2103
9516,18976,2103
9525,18976,2103
9506,18976,2103
9525,18976,2103
9521,18976,2103
9530,18976,2103
9525,18976,2103
9530,18976,2103
9501,18976,2103
9530,18976,2103
9521,18976,2103
9530,18976,2103
9516,18973,2103
9540,18976,2103
9516,18976,2103
9525,18976,2103
9511,18979,2103
9525,18976,2103
9501,18979,2103
9525,18976,2103
9521,18973,2103
9530,18979,2103
9492,18976,2103
9506,18976,2103
9501,18976,2103
9516,18976,2103
9506,18976,2103
9525,18979,2103
9501,18979,2103
9525,18976,2103
9516,18979,2103
9521,18979,2103
9497,18976,2103
9530,18976,2103
9501,18979,2103
9511,18979,2103
9492,18979,2103
9521,18979,2103
9506,18979,2103
9530,18976,2103
9511,18979,2103
9521,18973,2103
9511,18976,2103
9516,18976,2103
9492,18976,2103
9506,18979,2103
9497,18976,2103
9516,18979,2102
9492,18979,2102
9506,18976,2102
9487,18979,2102
9516,18976,2102
9516,18979,2102
9540,18979,2102
9506,18976,2102
9511,18976,2102
9497,18979,2102
9516,18976,2102
9506,18976,2103
9521,18979,2102
9516,18979,2102
9535,18979,2102
9511,18979,2102
9525,18976,2102
9501,18979,2102
9516,18979,2102
9497,18979,2102
9521,18979,2102
9506,18979,2102
9525,18976,2102
9492,18979,2102
9511,18976,2102
9506,18979,2103
9525,18976,2103
9501,18976,2102
9516,18976,2102
9497,18979,2102
9506,18976,2103
9492,18979,2103
9511,18976,2103
9482,18979,2103
9511,18979,2103
9487,18979,2103
9511,18976,2103
9501,18979,2103
9501,18976,2103
9482,18979,2103
9516,18976,2103
9511,18979,2102
9516,18976,2103
9497,18979,2102
9516,18979,2102
9492,18976,2102
9521,18976,2103
9501,18979,2103
9521,18976,2103
9492,18976,2103
9511,18976,2102
9501,18979,2102
9516,18976,2102
9506,18979,2103
9521,18976,2103
9487,18976,2103
9511,18976,2103
9501,18979,2103
9530,18976,2103
9521,18976,2103
9525,18976,2103
9501,18976,2103
9525,18976,2103
9511,18976,2103
9516,18976,2103
9501,18979,2103
9506,18973,2103
9501,18979,2103
9521,18976,2103
9501,18979,2103
9521,18979,2103
9525,18979,2103
9530,18976,2103
9501,18979,2103
9516,18973,2103
9501,18979,2103
9511,18976,2103
9497,18979,2103
9516,18979,2103
9487,18979,2103
9501,18979,2103
9506,18979,2103
9516,18979,2103
9501,18976,2103
9511,18979,2103
9497,18979,2103
9516,18979,2103
9477,18976,2103
9497,18976,2103
9506,18979,2103
9530,18976,2103
9497,18979,2103
9501,18976,2103
9477,18976,2103
9497,18979,2103
9482,18979,2103
9506,18979,2103
9497,18979,2103
9521,18973,2103
9501,18979,2103
9511,18979,2103
9492,18976,2103
9516,18979,2103
9511,18976,2102
9521,18976,2102
9506,18979,2102
9521,18979,2102
9506,18979,2102
9511,18976,2102
9497,18979,2102
9521,18976,2102
9506,18979,2102
9521,18979,2102
9506,18979,2102
9506,18979,2102
9497,18976,2102
9516,18976,2102
9506,18979,2102
9516,18979,2102
9492,18979,2102
9506,18976,2102
9492,18979,2102
9506,18979,2102
9501,18979,2102
9516,18979,2102
9501,18979,2102
