Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C15, C17, C20, C21, C24, C25, C28, C3, C30, C31, C33, C35, C36, C39, C4, C9",0603,20,0.1u,
C10,0603,1,0.01u,
"C12, C16",0603,2,30p,
"C18, C19, C26",0805,3,0.022u,
"C2, C7",1206,2,10u,
"C22, C23, C27",0603,3,0.022u,
C29,0603,1,3.3n,
C32,0805,1,4.7u,
"C34, C37, C5, C6",0603,4,1u,
C38,1206,1,5u,
C8,0603,1,0.47u,
D1,LED_D5.0mm,1,+3V3,
D2,LED_D5.0mm,1,WORKING,
D3,LED_D5.0mm,1,ERROR,
D4,0603,1,APHD1608LCGCK,
D5,0603,1,APHD1608LSYCK,
"H1, H2, H3, H4",MountingHole_4_40,4,~,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J10,1051640001,1,1051640001,
"J11, J9",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J12,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J13,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
J14,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,SPKM.28.8.A,
J2,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09_Pin,
"J3, J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"J5, J8",Pressure_Connector_1.1,2,~,
"J6, J7",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,MicroUSB_VBUS,
Q1,SOT-23,1,SQ2389CES-T1_GE3,
"R1, R6",0603,2,47k,
"R10, R11, R14, R15, R7",0603,5,100R,
"R12, R13, R16, R18, R20, R21, R27, R28, R34, R35, R4, R49, R5, R8, R9",0603,15,100k,
"R17, R19",0603,2,27k,
"R2, R22, R23, R24, R29, R30, R31, R36, R37, R38, R47, R52",0603,12,10k,
R25,0603,1,8.2k,
"R26, R33",0603,2,200R,
R3,0603,1,1k,
"R32, R39",0603,2,17k5,
R40,0603,1,1M,
"R41, R43, R44",0603,3,2k,
R42,0603,1,0,
"R45, R46",0603,2,750R,
R48,0603,1,19.1k,
R51,0603,1,16.6k,
SW1,SW-T3-1A-A-A3-S1,1,Power_Switch,
SW2,SW_PUSH_6mm,1,LEFT,
SW3,SW_PUSH_6mm,1,NRST,
SW4,SW_PUSH_6mm,1,RIGHT,
SW5,SW_PUSH_6mm,1,UP,
SW6,SW_PUSH_6mm,1,ENTER,
SW7,SW_PUSH_6mm,1,DOWN,
TP1,Testpoint_1x02_P2.54mm,1,+VRef,
TP10,Testpoint_1x02_P2.54mm,1,P1_InstOut,
TP11,Testpoint_1x02_P2.54mm,1,P1_LG,
TP12,Testpoint_1x02_P2.54mm,1,P1_HG,
TP13,Testpoint_1x02_P2.54mm,1,P2_InstOut,
TP14,Testpoint_1x02_P2.54mm,1,P2_LG,
TP15,Testpoint_1x02_P2.54mm,1,P2_HG,
TP2,Testpoint_1x02_P2.54mm,1,+5V,
TP3,Testpoint_1x02_P2.54mm,1,+3V3,
TP4,Testpoint_1x02_P2.54mm,1,+VBUS,
"TP5, TP6",Testpoint_1x02_P2.54mm,2,GND,
TP7,Testpoint_1x02_P2.54mm,1,T_InstOut,
TP8,Testpoint_1x02_P2.54mm,1,T_LG,
TP9,Testpoint_1x02_P2.54mm,1,T_HG,
U1,LM2937ESX-3.3_NOPB,1,LM2937ESX-3.3_NOPB,
"U10, U6, U8",DIP-8_W7.62mm_LongPads,3,INA122P,
"U11, U3, U4, U7, U9",DIP-8_W7.62mm,5,OPA2350,
U12,FT232RL,1,FT232RNL,
U13,SOP65P640X120-16N,1,TSC2046IPWR,
U14,AdaFruit_1590,1,AdaFruit_1590,
U15,DIP-8_W7.62mm_LongPads,1,MCP34119P,
U2,ti_LM4041CILPR,1,LM4041CILPR,
U5,PM0064A-IPC_A,1,XM0G3507QPMRQ1,
Y1,ABM8AIG25000MHZ122ZT3,1,ABM8AIG-40.000MHZ-12-2Z-T3,
