Designator,Mid X,Mid Y,Rotation,Layer
C1,43.053,-41.529,0.0,bottom
C10,29.083,-97.663,90.0,bottom
C11,155.448,-114.173,0.0,bottom
C12,121.35,-73.406,270.0,top
C13,144.399,-103.886,180.0,bottom
C14,133.731,-114.3,180.0,bottom
C15,131.953,-127.635,90.0,bottom
C16,117.85,-70.306,180.0,top
C17,182.95,-115.65,90.0,top
C18,178.308,-112.903,270.0,top
C19,178.308,-109.25,270.0,top
C2,47.752,-41.529,0.0,bottom
C20,165.354,-116.0,90.0,top
C21,159.7,-42.1,270.0,top
C22,161.75,-34.15,90.0,top
C23,169.35,-34.175,90.0,top
C24,149.15,-48.85,270.0,top
C25,159.225,-59.1,0.0,top
C26,149.4,-54.85,90.0,top
C27,152.15,-54.875,270.0,top
C28,149.65,-73.075,180.0,top
C29,64.262,-32.779,270.0,bottom
C3,169.926,-92.202,180.0,top
C30,81.28,-53.467,90.0,top
C31,64.643,-48.768,270.0,top
C32,62.357,-48.641,270.0,top
C33,89.154,-119.634,270.0,bottom
C34,97.028,-123.317,270.0,bottom
C35,110.236,-42.672,0.0,top
C36,61.989,-127.762,180.0,bottom
C37,113.35,-34.05,0.0,top
C38,112.6,-31.55,0.0,top
C39,128.4,-32.575,90.0,top
C4,145.288,-94.996,180.0,bottom
C5,107.823,-85.611,90.0,top
C6,120.55,-78.1,270.0,top
C7,117.15,-78.9,270.0,top
C8,114.808,-84.455,0.0,top
C9,121.158,-114.427,180.0,bottom
D1,35.56,-127.0,0.0,top
D2,35.555,-111.76,0.0,top
D3,35.56,-119.38,0.0,top
D4,64.77,-56.261,180.0,top
D5,62.357,-53.975,180.0,top
J1,38.74,-27.94,270.0,top
J10,57.518,-30.60275,0.0,top
J11,89.027,-27.432,270.0,top
J12,112.522,-136.906,270.0,top
J13,76.2,-136.906,90.0,top
J14,132.6205,-45.081,270.0,top
J2,29.57,-65.532,0.0,top
J3,29.57,-82.812,0.0,top
J4,203.962,-115.697,0.0,top
J5,195.567362,-45.869032,180.0,top
J6,175.26,-33.79,0.0,top
J7,175.8,-64.615,0.0,top
J8,195.590448,-85.7671,180.0,top
J9,71.247,-30.988,180.0,top
JP1,45.593,-35.311,180.0,top
Q1,39.624,-44.196,180.0,bottom
R1,163.576,-86.233,90.0,top
R10,156.464,-120.523,90.0,bottom
R11,143.637,-110.363,90.0,bottom
R12,138.303,-123.698,180.0,bottom
R13,141.859,-133.858,0.0,bottom
R14,133.604,-123.825,0.0,bottom
R15,131.953,-130.937,90.0,bottom
R16,199.136,-109.375,270.0,top
R17,199.136,-113.25,270.0,top
R18,203.835,-108.712,0.0,top
R19,189.3,-120.0,180.0,top
R2,162.687,-89.408,270.0,bottom
R20,181.737,-109.175,270.0,top
R21,182.245,-111.887,180.0,top
R23,176.657,-119.634,180.0,top
R24,164.719,-109.093,180.0,top
R25,165.354,-112.6,270.0,top
R26,166.6,-49.45,180.0,top
R27,165.5,-34.175,90.0,top
R28,158.4,-34.175,270.0,top
R29,154.9,-34.0,180.0,top
R3,154.94,-88.138,90.0,bottom
R30,149.845,-34.04,180.0,top
R31,146.65,-39.775,90.0,top
R32,146.65,-43.125,270.0,top
R33,166.525,-65.8,180.0,top
R34,159.2,-54.175,180.0,top
R35,155.225,-54.925,270.0,top
R36,161.325,-65.05,270.0,top
R37,161.3,-69.6,270.0,top
R38,148.375,-66.3,90.0,top
R39,148.35,-62.475,90.0,top
R4,114.681,-82.55,180.0,top
R40,62.484,-32.83,270.0,bottom
R41,39.624,-125.984,270.0,bottom
R42,92.837,-31.115,270.0,top
R43,39.624,-110.998,270.0,bottom
R44,39.624,-118.364,270.0,bottom
R45,67.945,-54.102,270.0,top
R46,65.405,-53.213,270.0,top
R47,75.057,-34.798,0.0,top
R48,75.057,-31.75,0.0,top
R49,89.154,-116.205,270.0,bottom
R5,130.937,-120.523,270.0,bottom
R51,113.665,-37.084,270.0,top
R52,121.666,-40.386,0.0,top
R6,30.861,-102.362,0.0,top
R7,119.38,-120.523,90.0,bottom
R8,157.163,-123.317,0.0,bottom
R9,145.923,-110.363,270.0,bottom
SW1,35.052,-42.906,270.0,top
SW2,125.17,-119.09,0.0,top
SW3,35.0,-97.5,0.0,top
SW4,150.57,-119.09,0.0,top
SW5,137.87,-108.93,0.0,top
SW6,137.87,-119.09,0.0,top
SW7,137.87,-129.25,0.0,top
TP1,160.655,-93.726,90.0,top
TP10,169.195,-27.85,90.0,top
TP11,160.269,-27.94,90.0,top
TP12,152.045,-27.95,90.0,top
TP13,211.3,-65.705,180.0,top
TP14,197.2,-65.755,180.0,top
TP15,203.3,-65.705,180.0,top
TP2,27.559,-46.482,180.0,top
TP3,186.304,-137.922,90.0,top
TP4,46.223,-27.94,90.0,top
TP5,27.559,-39.619,0.0,top
TP6,199.766,-137.922,90.0,top
TP7,196.92,-124.1,90.0,top
TP8,183.52,-124.1,90.0,top
TP9,170.695,-124.0,90.0,top
U1,46.355,-57.762,90.0,bottom
U10,166.6,-57.625,180.0,top
U11,154.545,-66.15,180.0,top
U12,74.676,-52.07,180.0,top
U13,92.964,-119.634,90.0,bottom
U14,78.74,-112.49615,90.0,top
U15,121.35,-32.75,0.0,top
U2,159.512,-87.376,270.0,bottom
U3,170.439,-85.852,0.0,top
U4,148.331,-88.646,180.0,top
U5,108.075,-76.050483,0.0,top
U6,189.35,-112.25,180.0,top
U7,171.699,-112.903,180.0,top
U8,166.64,-41.59,180.0,top
U9,152.99,-41.64,180.0,top
Y1,118.0,-73.456,90.0,top
